accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,auc,benign_precision,benign_recall,benign_f1,malignant_precision,malignant_recall,malignant_f1,normal_precision,normal_recall,normal_f1,run_id,model,experiment,train_ratio,train_ratio_percent,shots_per_class,seed,n_train_samples,best_c,best_val_score,best_val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,test_weighted_f1,test_auc,k
0.3263157894736842,0.43962136578769434,0.3264520202020202,0.2955841307814992,0.3780857780857781,0.43962136578769434,0.592602905320958,0.5384615384615384,0.13725490196078433,0.21875,0.35135135135135137,0.4482758620689655,0.3939393939393939,0.24444444444444444,0.7333333333333333,0.36666666666666664,openai_clip_vit_b16__linear_probe__shots4__seed2,openai_clip_vit_b16,fewshot_linear_probe,,,4,2,12,100000.0,0.5584895267087048,0.5584895267087048,0.3263157894736842,0.43962136578769434,0.3264520202020202,0.2955841307814992,0.592602905320958,4
0.49473684210526314,0.5384268649988732,0.4854375582223683,0.5199507687515681,0.5304232804232805,0.5384268649988732,0.6925282234105765,0.7857142857142857,0.43137254901960786,0.5569620253164557,0.5555555555555556,0.5172413793103449,0.5357142857142857,0.25,0.6666666666666666,0.36363636363636365,openai_clip_vit_b16__linear_probe__shots4__seed3,openai_clip_vit_b16,fewshot_linear_probe,,,4,3,12,1000.0,0.6143892339544514,0.6143892339544514,0.49473684210526314,0.5384268649988732,0.4854375582223683,0.5199507687515681,0.6925282234105765,4
0.5894736842105263,0.6022086995717827,0.5677233161104129,0.5991453707582738,0.5666802333469,0.6022086995717827,0.7493338557993731,0.7142857142857143,0.5882352941176471,0.6451612903225806,0.6153846153846154,0.5517241379310345,0.5818181818181818,0.37037037037037035,0.6666666666666666,0.47619047619047616,openai_clip_vit_b16__linear_probe__shots4__seed4,openai_clip_vit_b16,fewshot_linear_probe,,,4,4,12,0.1,0.5841269841269842,0.5841269841269842,0.5894736842105263,0.6022086995717827,0.5677233161104129,0.5991453707582738,0.7493338557993731,4
0.4842105263157895,0.43110209601081806,0.38284957301350747,0.4196241722039824,0.37741262389149705,0.43110209601081806,0.6523560657282766,0.5211267605633803,0.7254901960784313,0.6065573770491803,0.16666666666666666,0.034482758620689655,0.05714285714285714,0.4444444444444444,0.5333333333333333,0.48484848484848486,openai_clip_vit_b16__linear_probe__shots4__seed5,openai_clip_vit_b16,fewshot_linear_probe,,,4,5,12,1000000.0,0.591077846089875,0.591077846089875,0.4842105263157895,0.43110209601081806,0.38284957301350747,0.4196241722039824,0.6523560657282766,4
0.4105263157894737,0.46053639846743294,0.4178433189772665,0.4095039840237348,0.4131944444444444,0.46053639846743294,0.652259768066056,0.53125,0.3333333333333333,0.40963855421686746,0.3333333333333333,0.4482758620689655,0.38235294117647056,0.375,0.6,0.46153846153846156,openai_clip_vit_b16__linear_probe__shots4__seed6,openai_clip_vit_b16,fewshot_linear_probe,,,4,6,12,100.0,0.4916638628534808,0.4916638628534808,0.4105263157894737,0.46053639846743294,0.4178433189772665,0.4095039840237348,0.652259768066056,4
0.4631578947368421,0.5188190218616182,0.4590438800965117,0.4796195494256436,0.49647266313932975,0.5188190218616182,0.7205725613129265,0.7037037037037037,0.37254901960784315,0.48717948717948717,0.5357142857142857,0.5172413793103449,0.5263157894736842,0.25,0.6666666666666666,0.36363636363636365,openai_clip_vit_b16__linear_probe__shots4__seed7,openai_clip_vit_b16,fewshot_linear_probe,,,4,7,12,1000.0,0.5721976115075892,0.5721976115075892,0.4631578947368421,0.5188190218616182,0.4590438800965117,0.4796195494256436,0.7205725613129265,4
0.631578947368421,0.6539553752535497,0.6151404151404151,0.6379872758820128,0.6046594982078853,0.6539553752535497,0.8167134837215974,0.775,0.6078431372549019,0.6813186813186813,0.5806451612903226,0.6206896551724138,0.6,0.4583333333333333,0.7333333333333333,0.5641025641025641,openai_clip_vit_b16__linear_probe__shots4__seed8,openai_clip_vit_b16,fewshot_linear_probe,,,4,8,12,100000.0,0.7119097025718418,0.7119097025718418,0.631578947368421,0.6539553752535497,0.6151404151404151,0.6379872758820128,0.8167134837215974,4
0.6421052631578947,0.6043272481406355,0.602353418543315,0.6364673094788096,0.6044191919191919,0.6043272481406355,0.7558082856967238,0.7090909090909091,0.7647058823529411,0.7358490566037735,0.5416666666666666,0.4482758620689655,0.49056603773584906,0.5625,0.6,0.5806451612903226,openai_clip_vit_b16__linear_probe__shots4__seed9,openai_clip_vit_b16,fewshot_linear_probe,,,4,9,12,0.1,0.580888496616652,0.580888496616652,0.6421052631578947,0.6043272481406355,0.602353418543315,0.6364673094788096,0.7558082856967238,4
0.49473684210526314,0.5392382240252424,0.4864421229066423,0.5213016328588606,0.553921568627451,0.5392382240252424,0.7206521605507407,0.7058823529411765,0.47058823529411764,0.5647058823529412,0.7058823529411765,0.41379310344827586,0.5217391304347826,0.25,0.7333333333333333,0.3728813559322034,openai_clip_vit_b16__linear_probe__shots4__seed10,openai_clip_vit_b16,fewshot_linear_probe,,,4,10,12,10000.0,0.5611276768772026,0.5611276768772026,0.49473684210526314,0.5392382240252424,0.4864421229066423,0.5213016328588606,0.7206521605507407,4
0.5368421052631579,0.5703403200360604,0.5199720587361037,0.5446467291825069,0.519558154645874,0.5703403200360604,0.7282091708156617,0.7105263157894737,0.5294117647058824,0.6067415730337079,0.48148148148148145,0.4482758620689655,0.4642857142857143,0.36666666666666664,0.7333333333333333,0.4888888888888889,openai_clip_vit_b16__linear_probe__shots8__seed1,openai_clip_vit_b16,fewshot_linear_probe,,,8,1,24,10.0,0.5615272219045804,0.5615272219045804,0.5368421052631579,0.5703403200360604,0.5199720587361037,0.5446467291825069,0.7282091708156617,8
0.47368421052631576,0.582330403425738,0.47507812913819586,0.46825796415398896,0.5356502602524634,0.582330403425738,0.7768889708443462,0.7894736842105263,0.29411764705882354,0.42857142857142855,0.5151515151515151,0.5862068965517241,0.5483870967741935,0.3023255813953488,0.8666666666666667,0.4482758620689655,openai_clip_vit_b16__linear_probe__shots8__seed2,openai_clip_vit_b16,fewshot_linear_probe,,,8,2,24,1000.0,0.635644957678856,0.635644957678856,0.47368421052631576,0.582330403425738,0.47507812913819586,0.46825796415398896,0.7768889708443462,8
0.4631578947368421,0.5031327473518142,0.4532163742690058,0.4878116343490304,0.5048800661703888,0.5031327473518142,0.7582246399082099,0.8,0.39215686274509803,0.5263157894736842,0.4838709677419355,0.5172413793103449,0.5,0.23076923076923078,0.6,0.3333333333333333,openai_clip_vit_b16__linear_probe__shots8__seed3,openai_clip_vit_b16,fewshot_linear_probe,,,8,3,24,100.0,0.49690346083788706,0.49690346083788706,0.4631578947368421,0.5031327473518142,0.4532163742690058,0.4878116343490304,0.7582246399082099,8
0.5894736842105263,0.6385395537525355,0.5811411869360783,0.5953608764572507,0.5770833333333333,0.6385395537525355,0.7867935439588584,0.7714285714285715,0.5294117647058824,0.627906976744186,0.53125,0.5862068965517241,0.5573770491803278,0.42857142857142855,0.8,0.5581395348837209,openai_clip_vit_b16__linear_probe__shots8__seed4,openai_clip_vit_b16,fewshot_linear_probe,,,8,4,24,1000.0,0.640620687132315,0.640620687132315,0.5894736842105263,0.6385395537525355,0.5811411869360783,0.5953608764572507,0.7867935439588584,8
0.4421052631578947,0.46608068514762224,0.4185637057977483,0.4395108810562338,0.4101902537103541,0.46608068514762224,0.6194071034892535,0.5813953488372093,0.49019607843137253,0.5319148936170213,0.30434782608695654,0.2413793103448276,0.2692307692307692,0.3448275862068966,0.6666666666666666,0.45454545454545453,openai_clip_vit_b16__linear_probe__shots8__seed5,openai_clip_vit_b16,fewshot_linear_probe,,,8,5,24,1.0,0.593703220821865,0.593703220821865,0.4421052631578947,0.46608068514762224,0.4185637057977483,0.4395108810562338,0.6194071034892535,8
0.4,0.4597701149425288,0.3992063492063493,0.40037593984962405,0.4027577360910694,0.4597701149425288,0.6317985125084516,0.5151515151515151,0.3333333333333333,0.40476190476190477,0.4074074074074074,0.3793103448275862,0.39285714285714285,0.2857142857142857,0.6666666666666666,0.4,openai_clip_vit_b16__linear_probe__shots8__seed6,openai_clip_vit_b16,fewshot_linear_probe,,,8,6,24,1e-06,0.5448807148996903,0.5448807148996903,0.4,0.4597701149425288,0.3992063492063493,0.40037593984962405,0.6317985125084516,8
