model,experiment,k,seed,n_train_samples,best_epoch,best_val_macro_f1,test_accuracy,test_macro_f1,test_auc,trainable_params,total_clip_params,lora_rank,lora_alpha,lora_dropout,lora_layers,clip_lora_targets,biomed_lora_targets,head_lr,lora_lr,lr_min,accumulation_steps,use_eval_preprocess_for_train
unimedclip,fewshot_lora,2,1,6,18,0.4973544973544974,0.30526315789473685,0.2938268527750083,0.5491013071895424,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,2,2,6,10,0.5094610057211684,0.3684210526315789,0.36556838528669516,0.5651264162927448,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,2,3,6,46,0.36748545572074987,0.3473684210526316,0.3197492163009404,0.49247372303153236,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,2,4,6,11,0.5733234011924855,0.4105263157894737,0.4025252525252525,0.6069089987092015,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,2,5,6,8,0.296236107219576,0.30526315789473685,0.28147605083088956,0.4481369475689963,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,2,6,6,7,0.4217940826082829,0.3263157894736842,0.3140995246258404,0.4930212367078493,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,2,7,6,6,0.3885314685314685,0.30526315789473685,0.2969785575048733,0.5616909971930256,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,2,8,6,13,0.30910638297872345,0.5263157894736842,0.3143467026176834,0.6180073555022845,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,2,9,6,13,0.3704029304029304,0.3368421052631579,0.2631480651426864,0.579342051345094,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,2,10,6,36,0.44430386864597393,0.4631578947368421,0.4417508417508418,0.6704782613149755,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,4,1,12,25,0.6554989794822216,0.6210526315789474,0.5814266675039947,0.7461933739012846,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,4,2,12,14,0.5332256948448852,0.5157894736842106,0.4861630861630862,0.668435675210523,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
unimedclip,fewshot_lora,4,3,12,52,0.48757306723408417,0.5894736842105263,0.44336895879545607,0.6897494211895833,1181187,197083137,16,32,0.1,,"['q', 'k', 'v', 'o']","['qkv', 'proj']",0.001,0.0001,1e-07,4,False
